response_id,age_group,gender,city_tier,primary_hair_concern,hairfall_severity,current_brand,satisfaction_score,willingness_to_pay_inr,purchase_frequency,ingredient_preference,feedback_text
RESP_0001,25-34,Male,Tier 1,Hairfall,Severe (Visible Thinning),Head & Shoulders,7,150,Quarterly,Ayurvedic/Herbal,Nothing works on my scalp.
RESP_0002,18-24,Female,Tier 1,Hairfall,Severe (Visible Thinning),Generic/Ayurvedic,7,250,Bi-Monthly,Ayurvedic/Herbal,Nothing works on my scalp.
RESP_0003,55+,Female,Tier 2,Dryness,Mild (Seasonal),Head & Shoulders,2,699,Quarterly,Chemical/Scientific,Good but causes dandruff.
RESP_0004,35-44,Female,Tier 3,Hairfall,Mild (Seasonal),Pantene,4,399,Monthly,Ayurvedic/Herbal,I need a solution for post-partum hair loss.
RESP_0005,18-24,Female,Tier 2,Oily Scalp,Severe (Visible Thinning),Dove,6,399,Quarterly,Ayurvedic/Herbal,Made my hair dry but stopped fall.
RESP_0006,18-24,Female,Tier 1,Dryness,Severe (Visible Thinning),Generic/Ayurvedic,9,250,Bi-Monthly,Chemical/Scientific,Good but causes dandruff.
RESP_0007,35-44,Female,Tier 3,Frizz,Moderate (Clumps),Generic/Ayurvedic,8,250,Bi-Monthly,Ayurvedic/Herbal,Too expensive for daily use.
RESP_0008,45-54,Female,Tier 2,Hairfall,Mild (Seasonal),Pantene,2,699,Monthly,Chemical/Scientific,Nothing works on my scalp.
RESP_0009,18-24,Female,Tier 2,Dandruff,Severe (Visible Thinning),Mamaearth,4,399,Bi-Monthly,Ayurvedic/Herbal,I want something that actually stops hairfall.
RESP_0010,18-24,Male,Tier 2,Dryness,Severe (Visible Thinning),Generic/Ayurvedic,6,499,Bi-Monthly,No Preference,Just marketing gimmicks.
RESP_0011,25-34,Female,Tier 2,Dryness,Severe (Visible Thinning),Pantene,4,499,Monthly,Ayurvedic/Herbal,Too expensive for daily use.
RESP_0012,18-24,Female,Tier 3,Frizz,Moderate (Clumps),Head & Shoulders,8,699,Bi-Monthly,Chemical/Scientific,I need a solution for post-partum hair loss.
RESP_0013,25-34,Male,Tier 1,Oily Scalp,Moderate (Clumps),Head & Shoulders,6,499,Bi-Monthly,No Preference,Just marketing gimmicks.
RESP_0014,25-34,Male,Tier 1,Hairfall,Mild (Seasonal),Generic/Ayurvedic,9,399,Monthly,Ayurvedic/Herbal,I prefer natural smell.
RESP_0015,35-44,Male,Tier 1,Hairfall,Mild (Seasonal),Mamaearth,9,399,Quarterly,Ayurvedic/Herbal,Good but causes dandruff.
RESP_0016,55+,Male,Tier 2,Oily Scalp,Severe (Visible Thinning),Generic/Ayurvedic,6,999,Monthly,Chemical/Scientific,Too expensive for daily use.
RESP_0017,25-34,Female,Tier 2,Hairfall,Moderate (Clumps),Pantene,4,250,Monthly,Ayurvedic/Herbal,I want something that actually stops hairfall.
